"","country","neighbor1","neighbor2","neighbor3","neighbor4","neighbor5","neighbor6","neighbor7","neighbor8","neighbor9","neighbor10","neighbor11","neighbor12","neighbor13","neighbor14","boundaries.data.ISO_N3","boundaries.data.WB_A3"
"46","Northern Cyprus","Cyprus No Mans Area","United Kingdom","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-99","-99"
"47","Cyprus","Cyprus No Mans Area","United Kingdom","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","196","CYP"
"48","Czech Republic","Austria","Germany","Poland","Slovakia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","203","CZE"
"49","Germany","Austria","Belgium","Switzerland","Czech Republic","Denmark","France","Luxembourg","Netherlands","Poland","NA","NA","NA","NA","NA","276","DEU"
"50","Djibouti","Eritrea","Ethiopia","Somaliland","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","262","DJI"
"51","Dominica","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","212","DMA"
"52","Denmark","Germany","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-99","-99"
"53","Dominican Republic","Haiti","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","214","DOM"
"54","Algeria","Libya","Morocco","Mali","Mauritania","Niger","Western Sahara","Tunisia","NA","NA","NA","NA","NA","NA","NA","012","DZA"
"55","Ecuador","Colombia","Peru","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","218","ECU"
"56","Egypt","Israel","Libya","Sudan","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","818","EGY"
"57","Eritrea","Djibouti","Ethiopia","Sudan","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","232","ERI"
"58","Spain","Andorra","France","United Kingdom","Morocco","Portugal","NA","NA","NA","NA","NA","NA","NA","NA","NA","724","ESP"
"59","Estonia","Latvia","Russia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","233","EST"
"60","Ethiopia","Djibouti","Eritrea","Kenya","Sudan","South Sudan","Somaliland","Somalia","NA","NA","NA","NA","NA","NA","NA","231","ETH"
"61","Finland","Norway","Russia","Sweden","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-99","-99"
"62","Fiji","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","242","FJI"
"63","France","Andorra","Belgium","Brazil","Switzerland","Germany","Spain","Italy","Luxembourg","Monaco","Netherlands","Suriname","NA","NA","NA","-99","-99"
"64","Federated States of Micronesia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","583","FSM"
"65","Gabon","Cameroon","Republic of Congo","Equatorial Guinea","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","266","GAB"
"66","United Kingdom","Cyprus No Mans Area","Northern Cyprus","Cyprus","Spain","Ireland","NA","NA","NA","NA","NA","NA","NA","NA","NA","-99","-99"
"67","Georgia","Armenia","Azerbaijan","Russia","Turkey","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","268","GEO"
"68","Ghana","Burkina Faso","Ivory Coast","Togo","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","288","GHA"
